lead_id,name,email,company,industry,lead_source,lead_score,engagement_score,page_views,email_opens,time_on_site_minutes,converted,conversion_probability,days_in_pipeline,last_activity_date
LEAD-00175,Courtney Hunter,shaun92@martin.com,Barnes LLC,Media,content_download,21.0,0.0,33,6,34.5,False,0.118,5,2026-02-05
LEAD-00176,Nathaniel Edwards,cmcfarland@guerra.com,"Rivera, Walker and Woodward",Healthcare,organic_search,17.5,45.9,26,3,40.6,False,0.111,27,2026-02-01
LEAD-00177,Jill Everett,charlesortega@evans.com,"Decker, Curry and Villarreal",E-commerce,referral,17.4,43.1,29,19,1.2,False,0.053,32,2026-03-03
LEAD-00178,Anthony Rodriguez,phamkristi@jimenez.com,"Bishop, Hart and Barron",Education,organic_search,23.6,4.6,14,17,30.8,False,0.172,29,2026-03-17
LEAD-00179,Nicole Humphrey,mackmichael@martinez.com,"Floyd, Lee and Mendez",Healthcare,paid_search,36.0,53.5,7,20,14.7,False,0.355,86,2026-01-26
LEAD-00180,Daniel Crawford,nandersen@cross.org,"Jackson, Pitts and Moses",E-commerce,webinar,33.2,21.2,2,3,18.2,False,0.265,36,2026-02-22
LEAD-00181,Rebecca Hampton,randallrobertson@alvarez.com,Barnett and Sons,SaaS,paid_search,15.1,12.8,16,13,6.5,False,0.113,8,2026-03-19
LEAD-00182,Scott Johnson MD,jessicacollins@evans.com,"Mccarthy, Bennett and Nelson",E-commerce,demo_request,18.8,34.9,39,7,22.8,False,0.268,89,2026-03-22
LEAD-00183,Olivia Pearson,cynthiacaldwell@ramirez.com,Griffin-Ortega,Manufacturing,paid_search,14.4,12.4,5,3,16.2,False,0.052,86,2026-03-01
LEAD-00184,Thomas Wade,arice@wallace.net,Bailey Ltd,Healthcare,webinar,35.8,56.3,31,17,41.0,False,0.313,47,2026-02-06
LEAD-00185,Teresa Davis,bchavez@kelly-garcia.com,"Brooks, Jordan and Buck",Media,paid_search,49.8,71.1,17,2,38.8,False,0.354,75,2026-03-06
LEAD-00186,Monica Parks,schmittjennifer@moran.com,Mack Inc,E-commerce,organic_search,18.2,41.7,44,12,35.0,False,0.481,2,2026-02-12
LEAD-00187,Jacob Chavez,steven66@reese-khan.com,"Day, Castillo and Turner",Retail,demo_request,34.3,21.3,12,7,32.3,False,0.213,46,2026-01-31
LEAD-00188,Jeffrey Nguyen,sparkslaurie@allen.org,Vance-Simmons,SaaS,social,34.7,18.7,26,1,42.8,False,0.394,53,2026-02-13
LEAD-00189,Michael Fields,ymassey@robinson-monroe.info,Huff Inc,Fintech,demo_request,48.8,32.2,10,9,38.9,False,0.359,64,2026-02-26
LEAD-00190,Shaun Phillips,tapiajenna@reid.com,"Harris, Michael and Pratt",Fintech,paid_search,11.9,0.0,22,3,28.9,False,0.06,71,2026-03-03
LEAD-00191,Sean Mendoza,reynoldsdavid@brown.com,Johnston-Adams,Fintech,demo_request,6.6,6.0,28,20,4.9,False,0.029,32,2026-02-06
LEAD-00192,Ryan Bowman,bramos@harris.biz,Johnson-Conrad,Manufacturing,organic_search,8.2,4.6,27,4,3.4,False,0.069,68,2026-03-04
LEAD-00193,Kirsten Nelson,jwilcox@jacobs.com,Palmer Group,Education,organic_search,21.6,9.3,5,10,39.1,False,0.249,79,2026-03-19
LEAD-00194,Michelle Chavez,jonathanrobinson@howell-andersen.biz,"Parks, Davies and Griffin",Media,content_download,57.6,66.8,2,12,6.5,False,0.68,79,2026-02-19
LEAD-00195,Chelsea Horton,salassierra@marquez.info,Garza-Kelly,E-commerce,organic_search,43.2,0.0,37,19,21.8,False,0.404,46,2026-02-06
LEAD-00196,Cheyenne Juarez,patrickhodge@barrett.info,"Boyd, Jones and Smith",Fintech,demo_request,14.6,7.8,28,16,18.1,False,0.256,48,2026-02-10
LEAD-00197,Catherine Carter,mparker@gallegos.com,Miller-Conner,SaaS,webinar,46.9,49.7,14,13,25.1,False,0.391,51,2026-01-31
LEAD-00198,Meagan Jackson,donnabrooks@ortiz.com,Wilson Ltd,Fintech,organic_search,30.1,24.7,19,1,20.2,False,0.108,29,2026-03-26
LEAD-00199,Brian Acosta,patrickcarpenter@johnson.org,Torres Ltd,Media,paid_search,31.8,38.3,4,16,31.0,False,0.37,59,2026-02-24
LEAD-00200,Dennis Carrillo,murphycassidy@jensen.info,"Cunningham, Davis and Grimes",E-commerce,social,26.1,12.0,49,6,26.2,False,0.021,25,2026-02-02
LEAD-00201,Melissa Hamilton,smithvincent@bernard-williams.biz,"Jones, Ali and Carter",Fintech,organic_search,67.5,81.0,4,10,38.1,False,0.686,86,2026-02-02
LEAD-00202,Mark Pitts,edavis@cohen-conley.com,Waller Group,Retail,demo_request,65.7,75.5,3,15,0.8,True,0.562,23,2026-03-12
LEAD-00203,Wayne Peterson,angela40@dean-castillo.org,"Morris, Washington and Mitchell",Education,referral,6.6,33.0,19,16,37.2,False,0.211,84,2026-01-26
LEAD-00204,Anthony Miller,francisapril@davis-bailey.net,"Graham, Mejia and Parks",Media,webinar,30.7,26.3,34,17,38.0,False,0.235,79,2026-03-26
LEAD-00205,Timothy Barnes,bishopbrittany@shields-randolph.com,Jones-Armstrong,Fintech,organic_search,13.4,24.5,15,5,21.1,False,0.0,69,2026-02-03
LEAD-00206,Scott Pacheco,jasonrandolph@lucero.info,"Wolf, Brown and Murphy",E-commerce,social,19.8,15.1,12,4,27.0,False,0.132,27,2026-02-24
LEAD-00207,Carol Hunter,christinapaul@wood.net,Davis PLC,Fintech,paid_search,9.4,0.0,37,14,30.3,False,0.027,23,2026-01-26
LEAD-00208,Erik Mathews,rsullivan@chambers.com,Dean LLC,Manufacturing,social,24.1,35.3,3,3,13.7,False,0.278,86,2026-03-02
LEAD-00209,Danielle Bullock,thomassmith@lynch.com,Flores-Jackson,Healthcare,webinar,34.6,34.3,44,9,22.3,False,0.341,48,2026-02-26
LEAD-00210,William Robinson,jimmy21@harris.org,Nguyen-Kim,Education,paid_search,26.7,47.8,42,2,23.0,False,0.218,52,2026-03-20
LEAD-00211,Craig Walker,smithjenna@nguyen.com,"Jackson, Stafford and Williams",Education,social,25.6,28.0,39,8,20.7,False,0.24,7,2026-03-19
LEAD-00212,James Diaz,adrienne29@dillon.info,Miranda and Sons,SaaS,referral,21.4,0.0,41,18,8.2,False,0.322,35,2026-03-02
LEAD-00213,Tiffany Ramsey,dsmith@bell-anderson.com,Thomas-Harris,Retail,paid_search,35.4,23.1,26,13,44.4,False,0.161,67,2026-02-03
LEAD-00214,Wendy Brooks,brownmitchell@fields.com,Houston Inc,Healthcare,referral,47.9,48.1,23,11,44.0,False,0.579,84,2026-02-22
LEAD-00215,Jill Buckley,irosales@horton.com,Archer PLC,Manufacturing,content_download,47.3,72.6,2,8,37.5,False,0.456,44,2026-03-24
LEAD-00216,Aimee Johnson,john28@pierce.com,"Patton, Walker and Hopkins",Healthcare,webinar,31.6,43.0,32,11,2.2,False,0.351,64,2026-03-26
LEAD-00217,Ronald Chavez,megan76@drake-cook.com,"Murphy, Reyes and Ayers",Media,organic_search,16.7,1.9,40,18,2.9,False,0.182,25,2026-02-09
LEAD-00218,Vincent Douglas,kelsey44@chapman.biz,Clark Inc,E-commerce,referral,25.5,0.0,10,3,28.5,False,0.258,10,2026-03-10
LEAD-00219,Michael Bender,moonryan@salinas.com,Johnson Group,Healthcare,demo_request,30.9,16.1,24,18,31.9,False,0.208,1,2026-03-18
LEAD-00220,Nathan Jensen,jamesterri@cooke.com,Hunter-Haynes,Education,paid_search,22.7,7.0,14,7,5.4,False,0.296,48,2026-02-05
LEAD-00221,Danielle Curtis,wardcarmen@ashley.com,"Johnson, Perkins and Austin",Retail,webinar,20.3,14.1,27,8,1.3,False,0.151,7,2026-02-02
LEAD-00222,Francis Payne,byrdsherry@malone.com,"Jones, Wilkerson and Smith",E-commerce,social,24.9,37.9,26,0,4.5,False,0.064,80,2026-02-04
LEAD-00223,Patrick Sloan,janejohnson@dixon-romero.com,"Bates, Mitchell and Casey",Healthcare,paid_search,38.8,59.7,21,5,0.8,False,0.352,56,2026-02-21
LEAD-00224,Ronnie Taylor,pittmanglenn@page.com,"Harrington, Walker and Bender",Fintech,paid_search,13.3,36.0,25,1,31.1,False,0.314,27,2026-03-24
LEAD-00225,Thomas Brown,jesse43@wise.org,Rivera-Wise,E-commerce,referral,12.1,0.0,48,8,6.3,False,0.276,50,2026-03-16
LEAD-00226,Deborah Wilson,hawkinssusan@cochran.info,Ford-George,Retail,demo_request,3.5,0.0,15,7,5.7,False,0.193,13,2026-02-17
LEAD-00227,Christopher Hughes,aparker@brown.com,Anderson Group,Education,organic_search,16.4,7.6,36,4,9.0,False,0.078,1,2026-03-18
LEAD-00228,Richard Smith,jacquelinemelton@chase-fox.net,Salas PLC,E-commerce,referral,39.6,43.2,6,14,5.9,False,0.314,75,2026-02-25
LEAD-00229,Carol Perry,vincentdarren@anderson-chavez.biz,Tran PLC,Education,social,49.7,52.5,30,8,2.6,False,0.5,15,2026-02-04
LEAD-00230,Gregory Davis,smithrachel@stevens.com,Brown-Sanders,Manufacturing,organic_search,34.0,22.6,36,2,27.1,False,0.295,2,2026-02-11
LEAD-00231,Joshua Smith,elainefriedman@johnson.net,Wall LLC,SaaS,demo_request,21.8,33.2,49,10,18.9,False,0.346,57,2026-01-26
LEAD-00232,Thomas Ramirez,tmiller@cabrera.info,Thomas-Henry,Healthcare,content_download,29.8,44.3,23,5,36.2,False,0.181,29,2026-01-29
LEAD-00233,Diane Williams,hamiltonmegan@vaughn.com,Yu LLC,Manufacturing,webinar,23.3,29.9,24,2,21.5,False,0.27,56,2026-01-28
LEAD-00234,James Lopez,markjones@cameron-johnston.biz,Washington Inc,Healthcare,social,33.6,37.9,12,8,5.4,False,0.191,84,2026-03-02
LEAD-00235,Rhonda Meza,clarkdiane@vargas.com,Hancock PLC,SaaS,paid_search,41.3,20.6,46,5,36.4,False,0.331,68,2026-02-09
LEAD-00236,Aaron Parker,matthewwelch@perry-allen.org,Walker Group,Retail,referral,22.6,39.5,7,1,18.2,False,0.331,42,2026-02-16
LEAD-00237,Kelly Cisneros,oramirez@garcia.com,Pope LLC,Retail,organic_search,35.3,49.4,11,9,26.4,False,0.325,25,2026-02-04
LEAD-00238,Michael Freeman,daviskyle@allen.com,Perez LLC,Manufacturing,referral,10.4,4.1,29,14,13.3,False,0.03,86,2026-03-02
LEAD-00239,Heather Moran,paul42@davis.org,Taylor and Sons,Education,webinar,55.7,37.5,3,11,21.5,False,0.667,64,2026-01-26
LEAD-00240,William Garcia,sullivanalfred@rodriguez.info,Wilson-Bird,Manufacturing,paid_search,9.2,0.0,10,4,32.2,False,0.0,88,2026-03-23
LEAD-00241,Jean Berger,zwalters@ramirez.biz,"Moore, Thomas and Walsh",Media,content_download,46.5,31.6,44,11,7.8,False,0.463,16,2026-03-17
LEAD-00242,Diane Gonzalez,ireed@harrell.info,Smith Inc,Media,webinar,67.1,67.5,40,16,27.0,True,0.665,15,2026-02-19
LEAD-00243,Theresa Werner,prestonmaria@logan-morgan.com,Bennett-Phillips,Retail,demo_request,34.9,37.1,47,17,38.9,False,0.318,13,2026-02-19
LEAD-00244,Charles Maynard,lwilson@pace-rogers.com,Cox-Richardson,Media,organic_search,46.3,36.3,21,3,4.7,False,0.548,34,2026-01-27
LEAD-00245,Tonya Williams,whitneyjennifer@torres-gonzalez.com,Pruitt-King,Fintech,content_download,44.6,63.0,17,3,7.5,False,0.466,90,2026-03-10
LEAD-00246,Linda Harris,johnsonkrista@cunningham.com,Brown-Boyd,Education,social,43.1,37.7,20,13,20.1,False,0.443,10,2026-02-20
LEAD-00247,Mary Ramos,marybarnes@phillips-vasquez.biz,Jackson LLC,Healthcare,referral,12.4,32.2,5,15,40.4,False,0.04,34,2026-02-11
LEAD-00248,Terry Harris,lopezjulia@fisher-mcknight.net,Solomon LLC,E-commerce,webinar,36.4,36.9,1,13,18.4,False,0.513,42,2026-02-24
LEAD-00249,Katherine Adams,davisjohn@mendez-bell.net,Spencer-Spencer,Education,social,2.7,0.0,42,1,24.7,False,0.029,61,2026-03-10
LEAD-00250,Dan Fischer,gmontgomery@hodges.com,"Henderson, Guerrero and Gomez",SaaS,paid_search,11.5,6.7,17,0,40.2,False,0.105,84,2026-02-05
LEAD-00251,Antonio Pittman,rmitchell@ortiz.com,Peters-Kelly,E-commerce,referral,27.9,22.1,26,2,21.0,False,0.322,50,2026-02-11
LEAD-00252,Anthony Green,brian14@bauer.org,"Moore, Mcdonald and Smith",E-commerce,paid_search,41.4,52.7,42,1,5.5,False,0.468,87,2026-03-23
LEAD-00253,Carolyn Reynolds,thomasmaxwell@duran-rodriguez.com,"Lowe, Hernandez and Vega",Fintech,referral,33.4,14.9,14,17,10.4,False,0.33,12,2026-02-08
LEAD-00254,Cody Schaefer,krogers@herrera.org,"Johnson, Bailey and Moreno",E-commerce,referral,31.3,59.9,11,0,42.2,False,0.281,41,2026-02-14
LEAD-00255,Patricia Macias,james67@preston.net,Cain and Sons,Retail,social,68.0,52.9,28,8,1.0,True,0.884,9,2026-03-21
LEAD-00256,Donna Garcia,dwalsh@vargas-horton.com,"Grimes, Martinez and Smith",E-commerce,content_download,26.6,18.8,50,20,41.9,False,0.291,41,2026-01-27
LEAD-00257,Sierra Lane,guzmantiffany@mata-malone.com,"Ramirez, Atkinson and Garza",Education,demo_request,13.4,0.0,9,12,32.7,False,0.305,57,2026-02-06
LEAD-00258,Danielle Gibson,jruiz@torres.com,"Owen, Gutierrez and Coleman",Fintech,demo_request,19.8,0.0,19,2,6.0,False,0.0,36,2026-02-25
LEAD-00259,Julia Martin,awhite@martin.com,Richmond and Sons,Fintech,social,62.8,75.9,43,2,37.7,True,0.574,33,2026-03-14
LEAD-00260,Cheryl Hensley,duncanvanessa@ortiz-hubbard.com,Brown-Hall,Media,social,15.0,17.6,19,12,42.4,False,0.122,19,2026-02-13
LEAD-00261,Jerry Holmes,edwardray@wallace.biz,Cantu Ltd,Education,demo_request,32.7,14.2,34,4,6.1,False,0.181,8,2026-02-03
LEAD-00262,Julie Smith,jacob36@allen.info,Ferguson Inc,Education,paid_search,64.9,44.5,48,2,35.9,False,0.558,55,2026-02-16
LEAD-00263,Kelly Baker,charles57@wilson.biz,Jones Ltd,Education,referral,29.4,25.9,4,7,23.6,False,0.295,77,2026-02-22
LEAD-00264,Timothy Jackson,dharris@olson.com,Martinez-Summers,Manufacturing,organic_search,25.2,18.4,41,10,27.8,False,0.251,31,2026-02-26
LEAD-00265,Rebecca Butler,shannon31@davis.org,Sullivan and Sons,Education,content_download,18.8,19.1,28,12,14.7,False,0.276,9,2026-03-12
LEAD-00266,Alicia Gardner,jeffrey30@evans.com,Hunter-Cowan,Media,social,22.2,7.6,28,8,15.0,False,0.314,30,2026-02-05
LEAD-00267,Steven Smith,wulaura@prince-romero.org,Potter Ltd,E-commerce,referral,54.7,42.1,49,8,26.3,False,0.661,41,2026-02-07
LEAD-00268,Travis Drake,angelacasey@jones-harris.biz,Pennington PLC,SaaS,referral,23.8,32.9,3,10,29.2,False,0.263,37,2026-03-11
LEAD-00269,Robert Davenport,greenjames@black.info,Hines PLC,E-commerce,organic_search,5.9,17.6,45,6,21.7,False,0.078,84,2026-02-14
LEAD-00270,Whitney Torres,santosaaron@warren.com,"Miller, Mitchell and Gutierrez",E-commerce,paid_search,31.6,46.5,42,9,29.0,False,0.232,31,2026-03-23
LEAD-00271,John Hoffman,gpeters@rich.info,"Anderson, Hale and Reid",E-commerce,demo_request,35.3,22.2,44,0,42.6,False,0.416,70,2026-03-21
LEAD-00272,Benjamin Reed,donnalopez@gordon.com,Sanders Inc,SaaS,content_download,50.3,63.1,31,17,19.6,False,0.419,88,2026-03-06
LEAD-00273,David Gordon,sloanthomas@gibson.com,"Mcknight, Kennedy and Gutierrez",Manufacturing,referral,46.7,41.4,48,12,2.9,False,0.374,72,2026-02-19
LEAD-00274,Andrea Morgan,wrightchristopher@herrera-thompson.net,"Sanchez, Lynch and Walker",Healthcare,organic_search,21.0,0.3,18,3,31.4,False,0.08,42,2026-03-19
LEAD-00275,Mark Walker,waterspatricia@cobb.net,Hill PLC,Education,content_download,13.3,22.6,19,15,14.1,False,0.009,64,2026-02-28
LEAD-00276,Eugene Carey,ulawrence@sanchez.com,Jackson-Turner,Healthcare,paid_search,13.3,8.7,18,7,17.0,False,0.234,84,2026-03-16
LEAD-00277,Scott Miller,rmarsh@hall.biz,Tran-Brown,Media,paid_search,18.7,27.4,28,19,21.8,False,0.267,13,2026-03-22
LEAD-00278,John Cooley,jane12@clay.com,Johnson PLC,Retail,webinar,42.6,38.6,50,11,7.5,False,0.399,47,2026-02-14
LEAD-00279,Bethany Dunn,william62@velasquez.net,Park-Castillo,Healthcare,organic_search,3.7,0.0,43,15,36.0,False,0.032,41,2026-02-16
LEAD-00280,Beverly Hayes,ajohnson@carr.com,"Jones, Allen and Grant",SaaS,social,8.3,17.5,1,18,10.0,False,0.106,3,2026-03-23
LEAD-00281,Ian Wells,wolfebrittney@newman-rubio.biz,Huynh-Sanchez,E-commerce,content_download,17.3,8.6,8,16,15.1,False,0.4,51,2026-02-18
LEAD-00282,Ruben Watson,escobarwilliam@walker-olson.info,"Crawford, Warren and Hart",Media,social,37.3,40.1,42,0,33.3,False,0.495,46,2026-03-26
LEAD-00283,Gerald Hall,nicholserin@barr.net,"Mckee, Lee and Harvey",Fintech,webinar,31.3,19.8,2,10,32.7,False,0.35,85,2026-03-03
LEAD-00284,Carlos Adams,whitemarissa@crawford-brown.com,Burnett-Thompson,Manufacturing,organic_search,50.3,72.2,39,11,22.0,False,0.614,74,2026-02-27
LEAD-00285,Laurie Payne,gentrykatherine@smith.com,Chapman Inc,Fintech,webinar,32.2,18.5,5,16,12.4,False,0.428,20,2026-02-16
LEAD-00286,Katie Weiss,torrestravis@garrett.org,"Pace, Hunt and Bennett",Retail,referral,56.6,62.8,33,1,18.2,False,0.645,27,2026-02-25
LEAD-00287,Alexis Gutierrez,mendezbrittney@delacruz.net,Weber and Sons,Fintech,social,8.4,19.3,5,13,42.3,False,0.227,13,2026-02-02
LEAD-00288,Marcus Johnson,lbauer@white-winters.com,Brooks-Diaz,E-commerce,webinar,27.5,26.5,23,8,2.1,False,0.444,89,2026-02-26
LEAD-00289,Joseph Lewis,angelakaufman@knox.com,Long-Savage,Retail,paid_search,26.9,24.7,48,15,23.3,False,0.137,79,2026-02-27
LEAD-00290,Karen Mills DDS,darrell96@maxwell.biz,Clayton-Russell,SaaS,webinar,28.5,43.0,35,20,2.9,False,0.371,65,2026-02-01
LEAD-00291,Cheryl Miller,zsullivan@martin.org,Park-Davis,Healthcare,organic_search,30.8,14.1,49,3,7.2,False,0.073,86,2026-02-03
LEAD-00292,David Vaughn,cdelacruz@ellis-bradford.com,Long-Smith,E-commerce,referral,36.8,25.8,38,10,27.3,False,0.297,71,2026-03-21
LEAD-00293,Reginald White,watsonjoe@payne.org,Chapman-Bennett,Fintech,demo_request,11.7,16.0,11,6,11.2,False,0.0,11,2026-01-30
LEAD-00294,Rachael Pineda,palmerkatherine@hawkins.com,Barnes and Sons,Fintech,social,41.6,25.1,25,15,22.7,False,0.286,45,2026-02-24
LEAD-00295,Debbie Garcia,kmartinez@delacruz.com,Moore Ltd,SaaS,demo_request,37.0,30.2,45,6,23.6,False,0.381,45,2026-03-25
LEAD-00296,Alex Lucas,kelly12@moody.com,Guerra-Lawson,Retail,organic_search,14.2,0.0,28,5,31.2,False,0.0,90,2026-03-24
LEAD-00297,Andrew Lopez,whughes@washington.com,Bailey-Boyer,E-commerce,social,8.1,15.6,6,6,12.9,False,0.017,23,2026-02-14
LEAD-00298,Benjamin Becker,hannabrian@young.info,Best-Barajas,Media,content_download,22.3,50.7,46,15,8.9,False,0.307,26,2026-03-25
LEAD-00299,Kevin Steele,juliaball@nelson.biz,Robinson-Miller,Manufacturing,content_download,36.2,34.8,32,7,31.6,False,0.341,33,2026-03-07
LEAD-00300,Gary Hayes,lambanthony@torres.com,"Bush, Ware and Ramirez",Fintech,demo_request,2.1,1.3,7,9,32.6,False,0.0,2,2026-02-23
LEAD-00301,Timothy Rice,cpittman@duncan-blanchard.com,"Price, Tucker and Miranda",Education,paid_search,43.7,59.0,3,14,26.9,False,0.421,62,2026-03-17
LEAD-00302,Jonathan Branch,amorrison@miranda.com,Martinez-Schwartz,Education,organic_search,25.7,22.6,24,20,23.1,False,0.174,9,2026-02-26
LEAD-00303,Nichole Nolan,chelsea44@owens-lopez.com,Taylor-Evans,Education,paid_search,11.6,24.1,22,1,44.0,False,0.293,85,2026-02-28
LEAD-00304,Karen Jenkins,guzmanjohnny@martin.info,Baird-Wiggins,Manufacturing,webinar,49.7,32.1,9,10,10.6,False,0.575,83,2026-02-18
LEAD-00305,Tara Reyes,allenamy@shepard.net,"Lynch, Wilson and Strong",SaaS,demo_request,4.2,30.1,50,18,16.7,False,0.031,89,2026-03-21
LEAD-00306,Jacqueline Simpson,usmith@howard-rodriguez.org,"Chambers, Lewis and Lang",Media,referral,15.0,0.0,39,19,10.5,False,0.099,38,2026-02-11
LEAD-00307,Mrs. Tiffany Monroe,tholt@patrick.info,Jones-Powell,Fintech,referral,9.2,14.3,14,14,26.5,False,0.007,59,2026-03-06
LEAD-00308,Jeffrey Hubbard,ojones@cannon.com,"Wilson, Smith and Gonzalez",Fintech,paid_search,22.8,20.6,34,20,4.9,False,0.394,88,2026-03-06
LEAD-00309,Michael Mendez,nturner@powell-diaz.com,"Tucker, Johnson and Edwards",E-commerce,paid_search,33.1,30.8,38,4,4.3,False,0.315,42,2026-03-05
LEAD-00310,Victor Pratt,tammy54@anderson.info,Jackson-Stein,E-commerce,organic_search,11.6,2.7,43,20,3.8,False,0.076,84,2026-01-29
LEAD-00311,Mercedes Shields,peggyhardin@patel.org,Carson LLC,Healthcare,organic_search,56.1,35.9,7,0,21.7,False,0.618,25,2026-02-18
LEAD-00312,Erica Roberts,reginald69@george-johnson.com,"Jackson, Robinson and Davis",Manufacturing,demo_request,17.2,0.0,44,1,8.4,False,0.258,34,2026-02-25
LEAD-00313,Eric Herring,reillydana@palmer-adams.com,Henderson-Butler,Retail,webinar,47.2,35.7,18,16,37.5,False,0.496,37,2026-02-04
LEAD-00314,Carrie Cole,lindaperez@graham-skinner.com,Smith PLC,E-commerce,paid_search,27.5,35.2,14,4,37.1,False,0.184,17,2026-02-20
LEAD-00315,Frank Long,tmiller@duffy.com,Simon LLC,Fintech,paid_search,33.7,37.7,11,1,25.3,False,0.381,32,2026-02-01
LEAD-00316,Blake Parker,qbarron@little.com,Scott Group,Manufacturing,content_download,14.8,28.1,31,1,42.4,False,0.285,74,2026-03-02
LEAD-00317,Stephanie Campbell,andersondonna@robinson.com,"Irwin, Gibson and Thompson",Education,paid_search,39.1,80.6,38,3,11.6,False,0.437,2,2026-02-20
LEAD-00318,Anthony Salas,janicedixon@wilson.com,Morgan Ltd,Manufacturing,webinar,27.7,42.8,29,16,9.6,False,0.312,80,2026-02-20
LEAD-00319,Grace Espinoza,imartinez@boyer.info,"Fritz, Miller and Blake",Fintech,organic_search,38.1,27.0,15,3,19.4,False,0.268,71,2026-03-16
LEAD-00320,Michael Pope,sanchezkathy@ford.org,Shaw Ltd,Fintech,paid_search,57.3,65.5,25,20,2.9,False,0.534,1,2026-02-25
LEAD-00321,Michael Nichols,elizabethwilliams@powers-stewart.com,Joseph-Miller,Healthcare,referral,7.9,15.5,5,11,5.2,False,0.237,30,2026-01-31
LEAD-00322,Alexander Burton,nrodriguez@bailey.info,Murphy Inc,E-commerce,referral,35.7,16.2,35,9,12.5,False,0.438,77,2026-02-17
LEAD-00323,Joseph Gray,tammycarlson@nelson-flowers.com,"Smith, Flores and Chambers",Healthcare,webinar,22.9,43.9,1,6,20.3,False,0.395,36,2026-01-31
LEAD-00324,Carmen Bartlett,danielkelly@sosa.info,Smith LLC,Media,content_download,41.3,48.3,15,17,6.0,False,0.27,29,2026-02-13
LEAD-00325,Sarah Allen,cynthia32@dean.com,"Diaz, Fletcher and Mann",Healthcare,referral,11.5,12.3,4,8,26.1,False,0.0,51,2026-03-04
LEAD-00326,Stacy Turner,ywatson@quinn-ramos.com,Wheeler PLC,Fintech,social,24.9,0.0,24,10,14.2,False,0.11,57,2026-03-23
LEAD-00327,Christine Johnson,christopher88@gomez.com,"Bentley, Smith and Mathis",Media,organic_search,25.2,7.3,1,10,41.2,False,0.273,46,2026-02-28
LEAD-00328,Dr. Ronald Allen,astone@nash.com,"Schneider, Vincent and Becker",Fintech,demo_request,60.5,50.7,14,8,25.1,True,0.655,13,2026-02-23
LEAD-00329,Ricky Holt,wallkaren@booth-moore.com,"Francis, Bowman and Smith",E-commerce,demo_request,9.3,0.0,33,0,30.2,False,0.0,23,2026-02-15
LEAD-00330,Jillian Crosby,ckelly@brown-riley.com,"Anderson, Tucker and Mercado",Healthcare,webinar,33.5,34.4,21,1,36.4,False,0.318,18,2026-02-07
LEAD-00331,James Shannon,tannertina@carpenter.biz,Gillespie-King,Education,referral,8.2,9.6,31,18,43.9,False,0.104,22,2026-03-15
LEAD-00332,Christopher Hernandez,makayla40@woods.com,"Delgado, Curry and Smith",Manufacturing,webinar,4.0,23.3,32,11,10.3,False,0.218,9,2026-02-01
LEAD-00333,Peter Todd,nbrowning@waller.com,Barry Inc,Manufacturing,referral,5.9,17.9,50,9,5.0,False,0.071,31,2026-03-05
LEAD-00334,Jason Webb,burnsashley@white-peterson.com,Hinton Ltd,Healthcare,content_download,39.5,45.7,3,14,34.8,False,0.479,49,2026-01-28
LEAD-00335,Ashley Cohen,alexandersmith@hughes.com,Rivera PLC,Retail,referral,33.5,27.0,44,15,3.2,False,0.357,85,2026-01-30
LEAD-00336,Troy Phillips,twalter@adams.com,Hernandez-Mathews,Retail,paid_search,20.0,12.8,49,7,4.5,False,0.078,74,2026-02-17
LEAD-00337,John Lewis,patrick44@wilson-james.biz,Jordan Ltd,E-commerce,content_download,37.0,46.8,28,2,45.0,False,0.269,76,2026-02-18
LEAD-00338,Jesse Schmidt DDS,scottamy@brown.org,Gordon LLC,Manufacturing,social,35.9,17.6,48,7,1.6,False,0.273,32,2026-03-12
LEAD-00339,Terry Patel,barberdiana@brown-cooper.biz,Marshall-Kane,Media,paid_search,11.8,3.2,47,3,37.9,False,0.0,33,2026-03-08
LEAD-00340,Kimberly Wood,shannon03@walker.com,"Chapman, Luna and Ramirez",SaaS,paid_search,28.0,42.6,32,15,28.2,False,0.347,60,2026-03-14
LEAD-00341,Vanessa Bass,cardenaskathleen@montgomery.info,"Campbell, Moran and Morales",SaaS,demo_request,49.9,57.7,14,15,26.0,False,0.383,84,2026-02-10
LEAD-00342,Andrew Smith,mary34@johnson.net,Johnson Group,Healthcare,organic_search,46.7,28.1,27,3,36.6,False,0.511,75,2026-01-29
LEAD-00343,Christian Benton,qbailey@reed-burnett.org,Ballard-Clarke,Fintech,organic_search,34.6,44.4,1,9,44.3,False,0.34,48,2026-02-03
LEAD-00344,Christine Taylor,garciamelissa@wilkins.com,Lee LLC,Fintech,organic_search,18.3,36.5,31,4,36.4,False,0.161,51,2026-03-16
LEAD-00345,John Rosario,rfrye@glenn.com,"Hardin, Tran and Mcpherson",Fintech,demo_request,13.0,14.6,18,14,43.8,False,0.122,39,2026-01-27
LEAD-00346,Melissa Reeves,rodriguezkelsey@smith.com,Jarvis-Maldonado,Fintech,social,37.2,0.0,28,17,12.5,False,0.587,62,2026-03-12
LEAD-00347,Beth Garcia,zrodriguez@garcia.info,Mccullough-Mccann,Healthcare,paid_search,23.7,23.7,24,10,3.2,False,0.224,55,2026-03-02
LEAD-00348,Gene Frederick,pharris@wilson-smith.com,Ferguson-Fox,Manufacturing,demo_request,40.0,25.6,9,18,29.9,False,0.474,4,2026-03-09
